Batiment_id,Service_id
1,1
2,1
3,1
4,1
1,2
6,2
7,2
8,2
9,2
10,2
11,2
12,2
13,3
14,3
15,3
16,3
17,3
18,3
19,3
20,4
21,4
22,4
23,4
24,4
25,4
26,5
27,5
28,5
29,5
30,5
31,5
32,5
33,6
34,6
35,6
36,6
37,6
24,7
25,7
26,7
27,7
28,7
29,7
30,7
31,7
32,7
33,7
34,7
35,7
36,7
37,7
38,7
39,7
40,7
41,7
42,7
43,7
44,7
45,7
46,7
47,7
48,7
49,7
50,7
20,7
14,8
15,8
16,8
17,8
18,8
19,8
20,8
21,8
22,8
23,8
1,8
10,1
10,3
51,1
51,2
51,3
51,4
51,5
51,6
51,8
